method,env_id,variant_index,reward,hits,false_alarms,scanned_true_active,total_active_opportunities,overall_pd,scanned_pd,pfa,total_episodes,detected_episodes,interception_rate,mean_delay,median_delay,p90_delay,fairness_jain,min_scan_share,max_scan_share,max_min_scan_ratio,scan_b0,scan_b1,scan_b2,scan_b3,scan_b4
V70_DQN,68073,5,160.936938905418,167,3,225,913,0.1829134720700986,0.7422222222222222,0.01090909090909091,203,89,0.43842364532019706,1.8202247191011236,1.0,5.0,0.8422329279385506,0.11,0.364,3.309090909090909,98,182,82,83,55
V65_DQN,68073,5,177.93277569606892,183,3,231,913,0.2004381161007667,0.7922077922077922,0.011152416356877323,203,99,0.4876847290640394,2.1515151515151514,1.0,5.0,0.8797550761867896,0.1,0.314,3.14,95,157,76,122,50
Old_Scalable_DQN,68073,5,158.71927582234167,159,2,204,913,0.1741511500547645,0.7794117647058824,0.006756756756756757,203,100,0.49261083743842365,1.67,1.0,4.1000000000000085,0.9441444163299219,0.12,0.264,2.2,132,90,115,103,60
Random,68073,5,157.14113248839985,154,3,195,913,0.1686746987951807,0.7897435897435897,0.009836065573770493,203,102,0.5024630541871922,1.7941176470588236,1.0,4.0,0.9983626851962781,0.188,0.21,1.1170212765957446,99,105,98,94,104
Round_Robin,68073,5,153.46646099805827,145,2,177,913,0.1588170865279299,0.8192090395480226,0.006191950464396285,203,120,0.5911330049261084,2.2,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68074,6,164.6542286053302,164,3,207,913,0.1796276013143483,0.7922705314009661,0.010238907849829351,202,100,0.49504950495049505,1.74,1.0,5.0,0.916791961568081,0.134,0.308,2.298507462686567,109,154,67,86,84
V70_DQN,68074,6,150.88458648368706,154,2,191,913,0.1686746987951807,0.806282722513089,0.006472491909385114,202,93,0.4603960396039604,1.6989247311827957,1.0,5.0,0.879693163024737,0.128,0.328,2.5625,117,164,86,69,64
V65_DQN,68074,6,154.40266858592636,155,2,195,913,0.16976998904709747,0.7948717948717948,0.006557377049180328,202,85,0.4207920792079208,1.6823529411764706,1.0,5.0,0.9344746383583149,0.12,0.282,2.35,98,141,90,111,60
Old_Scalable_DQN,68074,6,165.06133314371132,167,2,217,913,0.1829134720700986,0.7695852534562212,0.007067137809187279,202,91,0.4504950495049505,1.8131868131868132,1.0,4.0,0.9199632014719411,0.124,0.268,2.161290322580645,134,71,130,103,62
Random,68074,6,153.12535501390724,149,3,189,913,0.16319824753559695,0.7883597883597884,0.00964630225080386,202,104,0.5148514851485149,1.6923076923076923,1.0,4.0,0.998043834085193,0.188,0.212,1.127659574468085,99,106,97,94,104
